PhoneNumber,name
+56928029440,La que cuelga
+56233847948,La que cuelga
+56928029429,La que cuelga
+56233844638,La que cuelga
+1957547897,Estafa Whatsapp
+56965671941,Estafa whatsapp
+56917141881,Banco Scotia
+56233845525,La que cuelga
+1998557255,La que cuelga
+56932584303,Banco Scotia
+12679126590,Estafa
+19732505832,Silenciosa
+17167520889,Estafa Whatsapp
+56928029405,WOM
+569280280.*,La que cuelga
+56928028059,La que cuelga
+56928028072,La que cuelga
+56928029402,Silenciosa
+56928028072,Silenciosa
+56928028044,La que cuelga
+56912656195,Banco Scotia
+56942545811,Banco Security
+56977487988,Banco Security
+56930915300,Entel
+56962073858,Entel
+56903270703,Seguros Scotia
+56323523331,Entel Fibra
+56984842931,Parque del recuerdo
+56938890575,La que cuelga
+56994948927,Entel Fibra
+56987662638,Security
+56233417804,Entel Fibra
2663,Spam Falabella
+56442377149,Spam Falabella
+56928606048,La que cuelga
+56443320442,Estafa SMS
+56928623609,Ventas
+56928650248,La que cuelga
+56928623663,La que cuelga
+56904658728,Scotia
+56223727246,Entel
+56973410620,Estafa CV
+56928012273,La que cuelga
+569286233.*,La que cuelga
+56979219710,Encuesta política
+56911694892,Scotia
+56993968300,VTR
+56955577115,Robocall
+56955582443,La que cuelga
+56956677203,Banco Falabella
+56225829409,La que cuelga
+56955577348,Seguros Scotia
+56955577345,Seguros Scotia
+56224024861,Grabación publicitaria
+56233843334,Seguros Scotia
+56917352309,Scotia
+56904119284,Créditos Scotia
+56905118128,Silenciosa
+56233843367,La que cuelga
+56936089398,Seguros Scotia
+56964103529,WOM
+56233843364,La que cuelga
+56233847738,La que cuelga
+56966105303,Vomistar
+56918593155,Ventas Scotia
+56915623160,silencioso
+56950355068,VTRobo
+56232633200,Político
+56900789468,call center
+56226663315,Robocall
+56442175929,Fraude SMS
+56978721772,Robocall
+56928623358,wom
+56928623686,La que cuelga
+56978908118,robocall
+56928010946,silenciosa
+56928623375,ventas Wom
+56914957963,ventas Scotia
+56928010953,la que cuelga
+56928010950,silenciosa
+56226663305,silenciosa
+56227147867,Estafa Viajes
+56928010951,La que cuelga
+56959215073,Call center
+56911105715,Ventas Scotia
+56928623651,La que cuelga
+56999445804,Robocall
+56908981353,Ventas Security
+56943516132,Vomistar
+56908987712,Call center
+56928010942,ventas Wom
+56955574862,Robocall
+56954659451,Estafa whatsapp
+56910163474,Venta seguros
+17813334828,No solicitada
+1879564587,Spam EnelX
+1939401904,Robocall
+225.*,Costa de Marfil
+233.*,Ghana
+234.*,Nigeria
+355.*,Albania
+37061653898,Estafa
+441678449301,Estafa financiera
+442350861,Silenciosa
+526623336604,Zoho ventas
+551993497727,Estafa
+56222993700,Ventas/Robocall
+56223101000,Ventas VTR
+56223272199,Silenciosa
+56223409500,Spam Tapp
+56224024877,La que cuelga
+56224782734,Encuestadora
+56224997880,Silenciosa
+56225739328,Silenciosa/Compara Online
+56225883858,Llamada silenciosa
+56225950859,La que cuelga
+56225950860,Silenciosa
+56226521200,Cobranzas Los Leones/Telefónica
+56226877956,Banco Security
+56227126000,Parque del Recuerdo
+56227147876,Televentas
+56227638900,Spam Uno Salud
+56228824129,No solicitada
+56228824441,Hogar de Cristo
+56229140355,Falabella
+56229140433,Spam cmr
+56229140448,Spam CMR Falabella
+56229141342,Phishing sms
+56229394955,Caja Los Andes
+562294791.*,Vendedores Claro/Movistar/Falabella
+56229479122,Silenciosa
+56229568300,Política
+56229751100,Ventas/Robocall
+56232457875,Encuesta
+56232464100,Robocall BancoEstado
+56232464286,Venta de Seguros Scotia
+56232467065,Silenciosa
+56232467082,Llama la que cuelga
+56232467163,Silenciosa
+56232467859,Silenciosa
+56232528216,Robocall/Silenciosa
+56232547356,Estafa RC Viajes falsos
+56232633300,Política
+56232633700,Encuesta política
+56232746928,Llamada silenciosa
+562327511.*,Ventas bancarias Santander/Scotia
+56232934600,Silenciosa
+56232936917,Banco Falaferia
+56233238300,Llamada política
+56233238800,Política
+56233242400,Ventas
+56233523223,Scotia
+56352490841,Scotia
+56413290467,Televentas/Silenciosa/Robocall
+56442170332,Phishing sms
+56442251571,Lipigas spam
+56442312059,Banco Falabella
+56442312105,Ventas CMR
+56442319998,Estafa de paquete extraviado
+56442350861,Silencioso 
+56442352444,Ventas
+56442355130,Parque del Recuerdo
+56442381670,Silenciosa
+56442382071,Silenciosa
+56442382171,Silenciosa
+56442382575,Vendedora Scotia
+56442382651,Ventas
+56442382663,Ventas Scotia
+56442382705,Banco Scotia
+56442382754,Vendedor Scotia
+56442382758,Vendedor Scotia
+56442384600,Ventas
+56442384610,La que cuelga
+56442384808,Ventas
+56442384815,VendedorScotia
+56442384818,Ventas/Financiera
+56442384827,La que cuelga
+56442384828,Ventas
+56442384871,Ventas
+56442384979,Estafa
+56442384999,Silenciosa
+56442385009,Estafa
+56442385016,Vendedora Scotia
+56442385029,Scotiabank
+56442385061,Vendedora Scotia
+56442385100,Ofertones Scotia
+56442385141,Robocall
+56442385151,Estafa/Ventas
+56442385181,La que cuelga
+56442385201,La que cuelga
+56442385231,Scotia
+56442385323,Spam scotia
+56442391312,Vendedor Scotia
+56442391391,Scotia
+56442400132,Promociones Unimarc
+56442400338,Spam gasco (fraude)
+56442461058,robocall que busca la respuesta SI
+56442461989,Robocall Caribean
+56442628890,Spam Unimarc
+56443260167,Llamada silenciosa
+56443320104,Estafa falso Netflix
+56448545877,Parque del recuerdo
+56448909000,Ventas
+5656229479121,Spam Falabella
+5660007778.*,Estafa Laborum
+566000830075,Telemarketer
+56612315922,Silenciosa
+56642290475,Spam Security
+56722810820,La que cuelga
+56752405286,La que cuelga
+56899471946,Estafa del paquete 
+56900990376,La que cuelga
+56901860811,Ventas Scotia
+56902251601,Vendedora Scotia
+56904116103,La que cuelga
+56904152434,La que cuelga
+56904183902,Scotia
+56904186984,Seguros Scotia
+56904332420,Ventas scotia
+56906462980,Ventas Scotia
+56906489320,Estafa RC Viajes
+56908964838,Ventas banco Security
+56912229077,Vendedor Scotia
+56912831330,Ventas Scotia
+56913086562,Vendedora Scotia
+56914724149,Llamada Silenciosa
+56918512092,Vendedora Scotia
+56919837857,Scotia
+56920008097,Llamada silenciosa
+56920025797,Ventas WOM
+56920032399,Ventas WOM
+56920219051,Ventas WOM
+56920236088,La que cuelga
+56920240702,Ventas WOM
+56920253717,Ventas WOM
+56920374582,Ventas WOM
+5692040210,Ventas WOM
+56921159390,Vomistar
+56921628939,Estafa Tiktok
+56921816503,Miramar
+56922092210,Llama y corta
+56922352310,Llama y corta
+56922421610,Llama y corta
+56923816476,Parque del recuerdo
+56923887611,Silenciosa
+56923899681,Robocall
+56923961635,Estafa TikTok
+56923992642,La que cuelga
+56925898991,Robocall Caja los Andes
+56926086913,Ventas Scotia
+56926142043,Silenciosa
+56926158251,Ventas scotia
+56926183795,Robocall
+56926280524,La que cuelga
+56926284230,La que cuelga
+56926303884,Robocall
+56926320219,Silenciosa
+56926332588,No solicitada
+56926410544,Estafa autopass
+56926808077,Wom
+56926816267,Estafa peruana
+56926819137,Estafa Veneca
+56927840317,Entel
+56927841702,Enel
+56927847272,la que cuelga
+56927848563,La que cuelga
+56928006706,Estafa Wom
+56928006763,Silenciosa
+56928006772,Chilombia móviles
+56928010892,Ventas Wom
+56928010912,Ventas WOM
+56928010921,La que cuelga
+56928650269,La que cuelga
+56928650281,Ventas Internet
+56931004642,ventas telefónicas
+56931457239,Estafa RC Viajes
+56931773983,Estafa Robotcall
+56932028245,BBVA cobranza (Fraude)
+56932161632,Robocall
+56932243905,Robocall
+56932266022,Robocall
+56932329809,Estafa Lider/BCI
+56932346919,Robocall
+56932371712,Robocall
+56932473596,salcospam
+56932533215,Robocaller
+56932619023,Robocall
+56932717029,Estafa TikTok
+56933605281,Ventas WOM
+56934227804,Estafa
+56935528962,Ventas Wom
+56935534669,La que cuelga
+56935592807,Estafa
+56936065737,Musiquita
+56937152973,Estafa RC Viajes
+56937760733,Robot
+56938148761,Llama la que cuelga
+56938148763,Política
+56938148764,Llama la que cuelga
+56938736349,Robocall
+56938819425,Robocall
+56938986180,Parque del Recuerdo
+56939167031,Robocall
+56939282291,Llaman y cortan
+56939283487,Música 
+56939510540,Vtr ofertón
+56940505205,Robocall
+56940629619,Parque del Recuerdo
+56940678577,robocall
+56940975084,Parque del recuerdo
+56944156922,La que cuelga
+56944419007,Cobranza falsa
+56944665308,Silenciosa
+56944880678,Estafa Laborum
+56946333370,SMS Scam
+56946574503,Estafa Recursos Humanos
+56946908160,robocall
+56948445192,Estafa laboral
+56948465371,Estafa Laborum
+56948532405,Estafa Whatsapp
+56950184020,Vomistar
+56950928568,Vtr móvil
+56952056497,La que cuelga
+56952073229,Ventas Claro
+56952309832,Silenciosa
+56954905177,estafa
+56955004482,Falabella
+569555706.*,Robocall
+569555714.*,Robocall
+56955573071,robocall
+56956455292,Robocall
+56956520858,Ventas Banco Security
+56956545712,Robot de llamadas
+56956789589,La que cuelga
+56956959761,Spam Banco Security
+56957037327,Robocall
+56957307839,Estafa Tiktok
+56957800309,Uno Salud
+56957810405,La que cuelga
+56958468137,Estafa Trabajando
+56958686982,Estafa Whatsapp
+56961766312,Estafa Laborum
+56962044858,Robocall
+56963368505,La que cuelga
+56964103029,Silenciosa
+56965137799,La que cuelga
+56966143418,La que cuelga
+56966578214,La que cuelga
+56966588597,silenciosa
+56966591557,Robocall
+56966592187,Robocall
+56966593769,Robocall
+56966598019,La que cuelga
+56966666840,Silenciosa
+56966677708,Estafa cobranaza
+56966844040,Spam tarjeta Ripley
+56968331854,Estafa Whatsapp
+56968669969,llama y corta
+56969931299,Silenciosa
+56971007026,Vendedora Scotia
+56971030930,Phishing sms estafa bancaria
+56971941641,Robocall
+569719724577,Silenciosa
+56972785183,Estafa del paquete perdido
+56973398892,Estafa cobranza
+56973878309,Silenciosa
+56974342658,Robocall
+56974345679,Spam tiktok
+56975205587,Llamada Silenciosa
+56975726628,Banco Security
+56975818727,Estafa
+56976455923,Tarjeta Ripley
+56976488562,Estafa tipo cobranza
+56976617534,La que cuelga
+56977078583,Vendedora Security
+56977198083,Estafa caribeña
+56977199873,Llaman y cortan
+56977199941,Estafa caribeña
